Participant,Window,Start,Mean_Speed
P1,minute_1,0,935.4707904480562
P1,minute_2,60,990.975570892229
P1,minute_3,120,1065.8841008683003
P1,minute_4,180,1214.3000782512593
P1,minute_5,240,751.0009391020034
P1,minute_6,300,1117.022551137844
P1,minute_7,360,926.2566466992328
P1,minute_8,420,800.029580069264
P1,minute_9,480,922.7596974870418
P1,minute_10,540,1104.0593931680087
P1,minute_11,600,831.1772277227665
P1,minute_12,660,1008.6009565879788
P1,minute_13,720,824.6460995507406
P1,minute_14,780,897.2711640570672
P1,minute_15,840,1182.0268460580314
P1,minute_16,900,1005.3093255827273
P1,minute_17,960,901.7303548862434
P1,minute_18,1020,922.352215541777
P1,minute_19,1080,991.9043382995184
P2,minute_1,0,1179.8394701380246
P2,minute_2,60,869.1254717880946
P2,minute_3,120,1065.932109048585
P2,minute_4,180,966.8187102932932
P2,minute_5,240,1038.5895693050263
P2,minute_6,300,968.9793685363497
P2,minute_7,360,1278.6534018584816
P2,minute_8,420,1405.3060112067594
P2,minute_9,480,1112.65435243467
P2,minute_10,540,997.138168557567
P2,minute_11,600,1452.929254905948
P2,minute_12,660,1374.4232264832092
P2,minute_13,720,979.2765136955235
P2,minute_14,780,1586.3448529977438
P2,minute_15,840,1467.189028047309
P2,minute_16,900,1108.8996597119176
P2,minute_17,960,1581.3840825179018
P2,minute_18,1020,1385.509423041823
P2,minute_19,1080,1614.6111849699273
P2,minute_20,1140,1218.9187903622874
P2,minute_21,1200,1419.2386668346262
P3,minute_1,0,1031.909215218339
P3,minute_2,60,888.4632052218958
P3,minute_3,120,800.8455988231077
P3,minute_4,180,1001.2073486462726
P3,minute_5,240,1078.6150992817586
P3,minute_6,300,837.4495358679146
P3,minute_7,360,1003.6975106720678
P3,minute_8,420,801.912748483196
P3,minute_9,480,920.0908228852849
P3,minute_10,540,786.3469770903673
P3,minute_11,600,927.106582340606
P3,minute_12,660,874.8111337944133
P3,minute_13,720,979.3231582372613
P3,minute_14,780,951.0804478817015
P3,minute_15,840,834.446973111524
P3,minute_16,900,799.585583311345
P3,minute_17,960,1183.898601975466
P3,minute_18,1020,998.1735795639987
P3,minute_19,1080,907.7574076264424
P3,minute_20,1140,693.9979910989811
P3,minute_21,1200,772.6288874279734
P3,minute_22,1260,758.1800620777993
P3,minute_23,1320,1001.7650494137154
P4,minute_1,0,949.5971058117835
P4,minute_2,60,896.3015176388712
P4,minute_3,120,1042.7310439685132
P4,minute_4,180,839.1033028169877
P4,minute_5,240,879.7669131725214
P4,minute_6,300,1012.8174389337586
P4,minute_7,360,925.94233068803
P4,minute_8,420,844.9047841629657
P4,minute_9,480,1095.724794737092
P4,minute_10,540,1206.5182286165639
P4,minute_11,600,959.7954136344224
P4,minute_12,660,899.1190308315065
P4,minute_13,720,1043.169198632321
P4,minute_14,780,714.5392520624239
P4,minute_15,840,860.1464777429993
P4,minute_16,900,838.8701025442558
P4,minute_17,960,943.248653628904
P4,minute_18,1020,856.303863596787
P4,minute_19,1080,805.0284612245785
P4,minute_20,1140,909.1314492951229
P4,minute_21,1200,1081.2313904593714
P5,minute_1,0,872.9136532858489
P5,minute_2,60,871.7208566729604
P5,minute_3,120,880.1886268956247
P5,minute_4,180,1035.1896153846615
P5,minute_5,240,769.4150791187993
P5,minute_6,300,573.3877402293219
P5,minute_7,360,937.8425980464305
P5,minute_8,420,911.0179343464966
P5,minute_9,480,1041.804706929758
P5,minute_10,540,640.6932394238323
P5,minute_11,600,1129.0247432071383
P5,minute_12,660,993.3636768593002
P5,minute_13,720,1161.4828626450053
P5,minute_14,780,855.9096468127016
P5,minute_15,840,1160.2998264153907
P5,minute_16,900,1164.9934939136324
