participant,window,count,duration,points_per_sec,points_per_30s,points_per_min
P1,minute_1,1962,59.778666500002146,32.82107338409647,984.6322015228942,1969.2644030457884
P1,minute_2,1723,57.579679700002075,29.92375103468903,897.7125310406709,1795.4250620813418
P1,minute_3,1743,59.9639024000019,29.067487775777995,872.0246332733399,1744.0492665466797
P1,minute_4,1740,59.96247779999675,29.01814707864014,870.5444123592042,1741.0888247184084
P1,minute_5,1963,59.93078000000122,32.7544543888793,982.6336316663791,1965.2672633327581
P1,minute_6,1824,59.992191699996624,30.403956720256023,912.1187016076807,1824.2374032153614
P1,minute_7,1860,59.96021199999751,31.020570774500882,930.6171232350265,1861.234246470053
P1,minute_8,1980,59.96299840000273,33.02036343799495,990.6109031398486,1981.2218062796971
P1,minute_9,1903,59.96428989998992,31.73555466384869,952.0666399154607,1904.1332798309213
P1,minute_10,1887,59.99378740000725,31.453256775046878,943.5977032514063,1887.1954065028126
P1,minute_11,1883,59.96617800000308,31.401034096251777,942.0310228875533,1884.0620457751065
P1,minute_12,1760,59.95955730000139,29.353118656197267,880.5935596859181,1761.1871193718362
P1,minute_13,1979,59.964252700001,33.002996133394106,990.0898840018232,1980.1797680036464
P1,minute_14,1765,59.96352610000963,29.43455988655938,883.0367965967814,1766.0735931935628
P1,minute_15,1369,59.99603209999202,22.818175670657094,684.5452701197129,1369.0905402394258
P1,minute_16,1404,59.9614836999923,23.415031005981934,702.450930179458,1404.901860358916
P1,minute_17,1977,59.96241579999037,32.97065292690088,989.1195878070265,1978.239175614053
P1,minute_18,1627,56.42823539999131,28.833083091594435,864.992492747833,1729.984985495666
P1,minute_19,1302,41.26385909999908,31.553035232228897,946.5910569668669,1893.1821139337337
P2,minute_1,1931,59.993800500005484,32.186659019873616,965.5997705962085,1931.199541192417
P2,minute_2,1975,59.96256889998912,32.93721460289802,988.1164380869405,1976.232876173881
P2,minute_3,1692,59.96359130001069,28.217122479115062,846.5136743734519,1693.0273487469037
P2,minute_4,1972,59.96428180000186,32.88624395731425,986.5873187194275,1973.174637438855
P2,minute_5,1941,59.96117230001096,32.37094815772382,971.1284447317145,1942.256889463429
P2,minute_6,1808,59.96507860000435,30.150881850088478,904.5264555026544,1809.0529110053087
P2,minute_7,1762,59.96210959999263,29.38522363129493,881.5567089388479,1763.1134178776958
P2,minute_8,1384,59.957749999999976,23.082920890126807,692.4876267038043,1384.9752534076085
P2,minute_9,785,59.91064779999857,13.102846135474747,393.0853840642424,786.1707681284848
P2,minute_10,1331,59.96042180000245,22.19797593218308,665.9392779654925,1331.878555930985
P2,minute_11,1939,59.990277800008585,32.32190400024656,969.6571200073969,1939.3142400147938
P2,minute_12,1944,59.96521719999612,32.418793606906604,972.5638082071981,1945.1276164143962
P2,minute_13,1964,59.96443280000983,32.75274872606946,982.5824617820839,1965.1649235641678
P2,minute_14,1933,59.96327820000056,32.236396308298936,967.0918892489681,1934.1837784979361
P2,minute_15,1956,59.9931555999965,32.603719214931814,978.1115764479545,1956.223152895909
P2,minute_16,1972,59.963279599994394,32.88679360360043,986.6038081080129,1973.2076162160258
P2,minute_17,1955,59.96419779999553,32.60278752532808,978.0836257598424,1956.167251519685
P2,minute_18,1948,59.96238279999784,32.48703452125105,974.6110356375314,1949.2220712750627
P2,minute_19,1951,59.964840900003765,32.53573211764959,976.0719635294877,1952.1439270589754
P2,minute_20,1736,59.99215279999362,28.93711792253244,868.1135376759732,1736.2270753519465
P2,minute_21,1528,47.79102600000783,31.97252973810919,959.1758921432757,1918.3517842865515
P3,minute_1,1976,59.993702100008726,32.93679054354795,988.1037163064385,1976.207432612877
P3,minute_2,1969,59.96284250000119,32.83700234857881,985.1100704573641,1970.2201409147283
P3,minute_3,1968,59.96808709999918,32.817455002663024,984.5236500798908,1969.0473001597816
P3,minute_4,1924,59.95904890000821,32.08856770240958,962.6570310722873,1925.3140621445746
P3,minute_5,1972,59.99365360000732,32.870143451302646,986.1043035390794,1972.2086070781588
P3,minute_6,1965,59.963003700003014,32.77020627303734,983.1061881911202,1966.2123763822403
P3,minute_7,1966,59.96368350000682,32.786511522424675,983.5953456727402,1967.1906913454804
P3,minute_8,1950,59.87214679999653,32.5694017038339,977.082051115017,1954.164102230034
P3,minute_9,1930,59.96679960000512,32.18447562440593,965.5342687321778,1931.0685374643556
P3,minute_10,1965,59.99333980000017,32.75363576274836,982.6090728824508,1965.2181457649017
P3,minute_11,1956,59.96364769999684,32.61976339041334,978.5929017124001,1957.1858034248003
P3,minute_12,1954,59.9628076000065,32.58686639615901,977.6059918847703,1955.2119837695407
P3,minute_13,1932,59.963362900003744,32.21967392358975,966.5902177076925,1933.180435415385
P3,minute_14,1962,59.964172299995994,32.71953776305408,981.5861328916224,1963.1722657832447
P3,minute_15,1960,59.99379060000183,32.6700476899011,980.1014306970329,1960.2028613940658
P3,minute_16,1965,59.9634878000021,32.76994171109458,983.0982513328374,1966.1965026656749
P3,minute_17,1881,59.9629393000007,31.369376183998675,941.0812855199603,1882.1625710399205
P3,minute_18,1917,59.90198430000237,32.00227876257389,960.0683628772166,1920.1367257544332
P3,minute_19,1963,59.84576919999722,32.80098202831841,984.0294608495523,1968.0589216991045
P3,minute_20,1965,59.99371419999011,32.753431358652634,982.602940759579,1965.205881519158
P3,minute_21,1960,59.96318150000275,32.68672460282832,980.6017380848496,1961.2034761696991
P3,minute_22,1932,59.96413719999782,32.21925788002616,966.5777364007849,1933.1554728015699
P3,minute_23,1274,40.445312100008096,31.49932424429839,944.9797273289516,1889.9594546579033
P4,minute_1,1952,59.99511200000346,32.53598393148908,976.0795179446724,1952.1590358893448
P4,minute_2,1870,59.9628612999916,31.18597010647092,935.5791031941276,1871.1582063882552
P4,minute_3,1935,59.963463700011374,32.26965022702037,968.0895068106112,1936.1790136212223
P4,minute_4,1932,59.961562099993245,32.2206415633094,966.619246899282,1933.238493798564
P4,minute_5,1719,54.79558570000532,31.3711401756188,941.1342052685641,1882.2684105371281
P4,minute_6,1644,58.21923340000211,28.238090816220545,847.1427244866163,1694.2854489732326
P4,minute_7,1945,59.963656099989976,32.43631436943561,973.0894310830682,1946.1788621661365
P4,minute_8,1860,59.96229350000618,31.019493942469165,930.5848182740749,1861.1696365481498
P4,minute_9,1332,59.96594419999417,22.212607802148632,666.378234064459,1332.756468128918
P4,minute_10,687,59.57078420001267,11.53249884529561,345.9749653588683,691.9499307177366
P4,minute_11,1608,58.578995499998314,27.45011221641802,823.5033664925406,1647.0067329850813
P4,minute_12,1947,59.96765950000281,32.46750025319746,974.0250075959237,1948.0500151918475
P4,minute_13,1623,59.96392090000211,27.066275447640766,811.988263429223,1623.976526858446
P4,minute_14,1776,59.991536800012,29.604175767666696,888.1252730300009,1776.2505460600019
P4,minute_15,1814,58.6910568000078,30.907604989654214,927.2281496896264,1854.4562993792529
